,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sector,,,,,,,,,,,,,,,,,,,,,,,,
0,65.0,2.0955215419501134,3.1294431356574104,0.0,0.33134920634920634,0.8835978835978836,1.988095238095238,13.293650793650793,65.0,-8.65929831878544e-05,0.019180393209915502,-0.029940119760479042,-0.0160155878718753,-0.0020910559832715524,0.01183347590533219,0.036697465055674006,65.0,0.006825818376100112,0.004546984497780904,0.0008992254399051713,0.002094786536142732,0.006887249392000982,0.009881261368048885,0.015754278013679474
1,10.0,1.283582089552239,0.8114182303631885,0.23880597014925373,0.835820895522388,1.4328358208955225,1.4328358208955225,3.2238805970149254,10.0,-0.0035447761194029813,0.08025523682183337,-0.19029850746268656,-0.020522388059701496,0.036069651741293535,0.036069651741293535,0.09266169154228857,10.0,0.04281135531135531,0.03824425147655386,0.015109890109890112,0.02655677655677656,0.02655677655677656,0.04922161172161171,0.1401098901098901
2,55.0,1.6183646245059293,1.260889993684058,0.08763586956521739,0.5258152173913043,1.4021739130434783,3.154891304347826,3.532608695652174,55.0,-0.0014543898972614849,0.019107169932305147,-0.05658072126727334,-0.01470340411189754,0.00623525446579036,0.016704583754634312,0.019481605351170567,55.0,0.011613525957623607,0.007990310356057411,0.003135089607411913,0.004616848377084211,0.012368786361580335,0.014396045721346926,0.04189477952989253
3,40.0,1.6686707776635834,1.2447400808403293,0.14491264131551904,0.5071942446043166,1.3525179856115108,3.0431654676258995,3.41726618705036,40.0,-0.0004845037743601307,0.024010403027008277,-0.06367671819990815,-0.02097045767641206,0.007500382672585338,0.021735802847084033,0.02544490723210905,40.0,0.015330346337413711,0.008986180558784909,0.005033173186913747,0.005605124685426677,0.01595744680851064,0.01896430083251023,0.047586364676275444
4,76.0,1.9908071201577144,1.4773681611569103,0.10483870967741936,0.6290322580645161,1.6774193548387097,3.7741935483870965,4.218362282878412,76.0,0.002137546633163869,0.016108011139131757,-0.04237449895018133,-0.008780301584271807,0.008016797098682955,0.016415346440160336,0.01893154284046125,76.0,0.009219118157359499,0.006702173019172631,0.00026896180742334505,0.005648197955890265,0.008875739644970414,0.011565357719203875,0.02985476062399139
5,157.0,1.6091997957475042,2.7337015201980788,0.0,0.32498184458968776,0.7312091503267975,1.9498910675381265,26.323529411764707,157.0,0.000293086193900635,0.008786696923701634,-0.0111731843575419,-0.0067878920655785584,-0.002402599773615218,0.006367984810311462,0.028294446270128164,157.0,0.0018069251201931944,0.0013159295204577392,0.00032747384628266027,0.0006121528149261087,0.0017294712506802992,0.00273980249233646,0.0072090762353532204
6,27.0,1.9218446731009546,1.3777911100656082,0.08668341708542714,0.8090452261306533,1.3869346733668342,3.120603015075377,3.5175879396984926,27.0,-0.0022732711174922233,0.04627399448000131,-0.10589177772922584,-0.008302381472580292,0.011215497778748817,0.030733377030077925,0.035965541995692754,27.0,0.026934640506107558,0.020716767057705338,0.006164828033744324,0.00832792558944408,0.022820679212632485,0.026606479022835902,0.07862859614968636
7,283.0,1.6702442777089421,2.6864014996498957,0.0,0.3258522727272727,0.8689393939393939,1.955113636363636,13.045454545454545,283.0,-0.00076884822424769,0.0047903695827465525,-0.008718395815170008,-0.004701989379408735,-0.0006855829436474602,0.0033308234921138142,0.010492556224263542,283.0,0.0017457169727244013,0.0011739096452403177,0.0002976383771138456,0.0005742012044031557,0.0014460407859201562,0.002913157121664848,0.0045529829769979865
8,125.0,1.7972752284752285,3.000011788730053,0.0,0.2764309764309764,1.0662337662337662,1.6585858585858586,22.39090909090909,125.0,-0.00014400767725980868,0.010057829646364574,-0.012180267965895249,-0.007931938139002694,0.0005647215147824153,0.004813051341674972,0.026054700476137747,125.0,0.0023424972829854036,0.001669018597576566,0.00016190973056316033,0.0010561170660263637,0.0022741438626158895,0.0034921706592054135,0.007470070510100311
9,27.0,1.5606301598121641,1.51000161446234,0.10736196319018405,0.4294478527607362,0.6441717791411044,1.7177914110429449,4.355828220858895,27.0,-0.012065805421028784,0.04829902544218889,-0.10201577563540754,-0.04075372480280455,-0.020333041191936893,0.020508326029798424,0.04726518620928022,27.0,0.029575069317961573,0.017500149458895147,0.014224402207234824,0.014347026364193747,0.028510116492949107,0.032924039966293485,0.07136725935009197
