,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Disparate_Impact,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,Statistical_Parity_Difference,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI,DIDI
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Sector,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1756.0,1.0216184408569324,0.9148661042620325,0.0,0.5262455859633636,0.6504082983888766,1.3008165967777532,7.8022511586846175,1756.0,-0.00015361760501122237,0.0010620586794123676,-0.009704512760626312,-0.0004581847941082649,-0.0001186262984767979,0.00018713957090949092,0.00808588282905287,1756.0,0.0003895449913875893,0.0005206311440870468,7.717716089920834e-07,7.187694014420588e-05,0.00020569983296138481,0.00048335601887880466,0.005880854262190427
1.0,44.0,1.3605331690702778,1.3872459101156367,0.0,0.564885496183206,1.1259541984732824,1.3963313579750904,7.318702290076336,44.0,-0.0014393602956159557,0.01740326446040152,-0.06342347004787166,-0.0040238064432656226,0.0004326894497032935,0.006472376762841247,0.050575753655065336,44.0,0.006982130059848126,0.008658205001009564,0.00012830860288487282,0.0009393539881344761,0.003863744541710643,0.009740071604478385,0.040578630409138894
2.0,527.0,1.0022078543540756,1.086496852840004,0.0,0.4102244389027431,0.8204488778054863,1.2306733167082293,12.306733167082294,527.0,-0.0010674489875948311,0.0036471231697156508,-0.022264500855258003,-0.002208258482466579,-0.0010131712259371835,0.0006493391647527584,0.013325349240879565,527.0,0.0014066535746310581,0.0015413280121815297,1.387905788955042e-05,0.0003570920419751764,0.0008563378717852633,0.0017695798809176837,0.012230225812271862
3.0,1055.0,1.1376008585399648,1.014588140439904,0.0,0.5279336423517932,0.9804481929390443,1.5838009270553794,10.558672847035863,1055.0,4.163078912695886e-05,0.001454661102993925,-0.00755763431773405,-0.0004621072088724584,-0.00011487856692877184,0.0005137405588757729,0.01476037390662436,1055.0,0.00056112780818498,0.0007693900956078262,1.6896463489029677e-05,0.00014260896239075738,0.0003024393180852957,0.0006556030427177994,0.009660350094723491
4.0,1062.0,1.1209368865574032,0.8914129306266155,0.0,0.6109975470155357,0.9164963205233034,1.3238280185336604,7.3319705641864275,1062.0,-6.190501797865966e-05,0.0012916869203805756,-0.009854886286511978,-0.00044630803543218005,-0.00011174798190257155,0.00042722744366301395,0.0056486758342869075,1062.0,0.0004953802089801372,0.0006314396682159871,1.0994931336653913e-05,9.220459792745974e-05,0.000276613793782379,0.0006115983620354106,0.006117257164524374
5.0,133.0,1.0596733078639102,0.8601172266995792,0.0,0.6519916142557652,0.6540880503144655,1.308176100628931,4.563941299790357,133.0,-0.0006047874685258654,0.007869610192452324,-0.036360694857327756,-0.00335699407470323,-0.0011086921464279953,0.0019548760675982668,0.02416631276668891,133.0,0.0030313865168244587,0.0036834626571847825,8.569050222795305e-05,0.0006773630176114386,0.0018645802866335184,0.003721416096756818,0.022010217572265657
6.0,74.0,0.9484618356693156,0.958160894935513,0.0,0.5485465116279069,0.7095099667774085,1.1744941105406221,5.943152454780361,74.0,-0.0007000651397844054,0.006703689456880541,-0.01887318234787455,-0.002659978720170239,-0.0008866595733900797,0.001038658357399805,0.02345847899883466,74.0,0.0026645243162870744,0.0032720439068042273,3.180509835726958e-05,0.0005565892212521669,0.001367619229362467,0.002914142136984559,0.014725760539414462
7.0,1392.0,1.0175695466479495,0.8514952827035296,0.0,0.5788052649341884,0.8264001334814776,1.1579480256496792,6.9456631792102606,1392.0,-0.00014541259025686618,0.0010614170426081638,-0.006233340450591304,-0.0004761347188699499,-0.00012271232502919277,0.000214783456273541,0.007760828645618606,1392.0,0.0004121657457812466,0.0005389445483689221,9.036779067579138e-06,7.777862259543774e-05,0.0002233019268905877,0.0005155949877660708,0.004915633877077368
8.0,2016.0,1.1330919812087603,0.9272585559954439,0.0,0.5515734265734266,0.9509479630218267,1.496534715284715,11.027097902097902,2016.0,3.4820820709920944e-05,0.0009169159221917836,-0.007072173763612527,-0.0003556441576655608,-9.640329943540389e-05,0.00038136902732622126,0.0061960557278630994,2016.0,0.00038187178623231194,0.00045158921233696926,2.735783042801844e-06,0.00011450637262561104,0.0002292474525253706,0.0004864668908557121,0.004558707866219315
9.0,1106.0,1.0329512510996253,0.852640303448706,0.0,0.5782227784730913,0.867334167709637,1.2898815827476653,10.408010012515645,1106.0,-4.4557838302287864e-05,0.0011608570359727757,-0.006720047787006484,-0.0003846799841793584,-0.00011404402920475046,0.0002834305869349673,0.00803188780347729,1106.0,0.00044010460180442023,0.0005898807667947049,1.0513541441376515e-05,7.230741766824241e-05,0.0002250756116735498,0.000534742319536134,0.005089197743836919
10.0,153.0,1.0151361277491562,0.6943271702554076,0.0,0.6247713414634147,0.81602787456446,1.4280487804878048,4.284146341463415,153.0,-0.0011868508625784908,0.005795580635646765,-0.02208504301097665,-0.002563475036970694,-0.0007326446022786445,0.00048686759284330677,0.030630480514881986,153.0,0.001949295848437007,0.002844442722241042,1.8227768729707494e-06,0.00028404939603807276,0.0009256668553240732,0.0022796862757964702,0.017870504462613457
11.0,2441.0,1.1165889431222027,0.9975909826068318,0.0,0.5504946413849959,0.8807914262159934,1.4679857103599891,11.009892827699916,2441.0,9.407246448926257e-06,0.0008950010474688667,-0.008191398375825597,-0.00037439161362785476,-0.00013048149601086205,0.00028171965815236956,0.008529446533142918,2441.0,0.0003614251343020311,0.0004500588388360238,1.099834462471843e-05,0.00010843544171624853,0.00021708044910869373,0.00045854636819979444,0.005501113196704697
12.0,1595.0,1.0629248087322811,0.992144611161223,0.0,0.5671681891456206,0.7562242521941609,1.4179204728640515,8.50752283718431,1595.0,-8.015176997253142e-05,0.001190336006228306,-0.012641619560903952,-0.0004737091425864519,-0.00020481209190236594,0.0003325334212625991,0.006420018882183878,1595.0,0.00047126520675543743,0.0005977386941435157,9.014523371694838e-06,0.00013066688482355263,0.00030227077467971436,0.000595527025987734,0.00806653660306609
13.0,757.0,1.0311106836765673,0.8697743930933385,0.0,0.6283138918345705,0.8078321466444479,1.2571580063626724,8.168080593849417,757.0,-7.332055342783627e-05,0.002012058491957774,-0.009148690551297363,-0.0006049460604677587,-0.00015665162244566164,0.00037339311202688253,0.021263943514503947,757.0,0.0006436587750061606,0.0010554910550047653,6.869764380821285e-06,9.631409661911414e-05,0.0003393663604125711,0.0007177454143146612,0.013058872506790747
14.0,274.0,1.1411305888687133,0.9264927885062586,0.0,0.5651303334789574,0.7900101936799185,1.5779816513761469,7.100917431192661,274.0,-0.0005972331717720384,0.005378588504715264,-0.024761159708887454,-0.0018372330085579497,-0.00027095458880010514,0.0017673646240306254,0.018929426546239005,274.0,0.001891088977588896,0.002358284765446746,3.975352812562137e-05,0.00041810566536850616,0.0010269661432452128,0.002373616908500629,0.013840853375737094
