,Sector,Job,Disparate_Impact,Statistical_Parity_Difference,DIDI
103,7,ORD_1097_1547,2.9630459126539757,0.005193243155169247,0.0022878964664855145
104,7,ORD_11228_0092,5.049107142857143,0.007160224832638625,0.003165052516055357
105,7,ORD_11609_0187,11.42889137737962,0.00919655324283917,0.004051564896820611
106,7,ORD_11617_0687,2.9512104283054,0.005171052371834101,0.00228322243354293
107,7,ORD_11626_0187,0.0,-0.00881057268722467,0.0038771735752365106
108,7,ORD_11641_0187,0.5431447746883988,-0.002822583033699213,0.0012448886196976304
109,7,ORD_11671_0687,0.5442329227323628,-0.0028133770201705997,0.0012394403941846793
110,7,ORD_11680_0687,0.14109742441209408,-0.006816687107840523,0.0030031088245197762
111,7,ORD_11683_0687,0.14138016940707523,-0.006808439185318347,0.0029961163065140434
112,7,ORD_11684_0687,0.31746920492721165,-0.004815032064005562,0.0021212746093522278
113,7,ORD_11806_0351,0.31746920492721165,-0.004815032064005562,0.0021212746093522278
114,7,ORD_11893_0504,0.31683445190156595,-0.0048237637994593754,0.0021275011527956003
115,7,ORD_12012_0505,0.14280345734686206,-0.006767341126208984,0.0029613377301171036
116,7,ORD_12019_0322,1.274971941638608,0.001210263827634719,0.0005319906612839343
117,7,ORD_12175_0332,0.0,-0.008802816901408451,0.0038694177894202913
118,7,ORD_12536_0585,11.451793721973093,0.009208628829932241,0.004052341843265693
119,7,ORD_12539_0585,11.42889137737962,0.00919655324283917,0.004051564896820611
120,7,ORD_12563_0585,0.31874298540965207,-0.0047975846097911825,0.002108854409138601
121,7,ORD_12711_0527,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
122,7,ORD_12804_0130,0.5464165464165465,-0.0027949684639825482,0.0012285727189977553
123,7,ORD_12849_0327,11.406040268456374,0.009184501560861761,0.00405078657889019
124,7,ORD_12852_0327,0.0,-0.00881057268722467,0.0038771735752365106
125,7,ORD_13185_0108,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
126,7,ORD_13451_0363,0.3206644144144144,-0.004771452752137563,0.002090305892401656
127,7,ORD_13640_0374,0.5453235105701474,-0.002804172181505699,0.001234001769069109
128,7,ORD_1378_1624,5.089686098654708,0.0072064953280259175,0.003171284574543226
129,7,ORD_13811_0072,0.0,-0.00881057268722467,0.0038771735752365106
130,7,ORD_13844_0431,2.9689835575485803,0.005204361826119595,0.002290227305820759
131,7,ORD_13854_0072,0.0,-0.008771929824561403,0.003838530712573243
132,7,ORD_13909_0550,0.5431447746883988,-0.002822583033699213,0.0012448886196976304
133,7,ORD_13914_0102,2.9571215510812827,0.005182140029341437,0.0022855615126942497
134,7,ORD_13915_0072,2.9571215510812827,0.005182140029341437,0.0022855615126942497
135,7,ORD_14115_0119,1.2673378076062642,0.0011797784978211127,0.0005203364464983103
136,7,ORD_14121_0312,0.8448918717375092,-0.0008214022679390509,0.0003622760865996605
137,7,ORD_14298_0186,1.9086322869955157,0.0032022283242132714,0.0014091700370982918
138,7,ORD_14440_0288,0.14138016940707523,-0.006808439185318347,0.0029961163065140434
139,7,ORD_14440_0607,0.0,-0.00881057268722467,0.0038771735752365106
140,7,ORD_14479_0288,0.14138016940707523,-0.006808439185318347,0.0029961163065140434
141,7,ORD_14531_0036,0.8465845464725644,-0.0008117219763356378,0.0003576061790171309
142,7,ORD_15007_0533,0.5442329227323628,-0.0028133770201705997,0.0012394403941846793
143,7,ORD_15056_0533,2.9749345304900863,0.0052154961192519885,0.0022925540415656247
144,7,ORD_15061_0533,0.5475120385232745,-0.0027857658138408783,0.0012231532187066511
145,7,ORD_15151_0349,0.31810538116591924,-0.0048063056834120235,0.002115059037791576
146,7,ORD_15158_0349,0.31746920492721165,-0.004815032064005562,0.0021212746093522278
147,7,ORD_15186_0349,0.8465845464725644,-0.0008117219763356378,0.0003576061790171309
148,7,ORD_15210_0349,0.5442329227323628,-0.0028133770201705997,0.0012394403941846793
149,7,ORD_15409_0446,0.14366515837104074,-0.006742794028574482,0.002940616636043336
150,7,ORD_15473_0122,2.9749345304900863,0.0052154961192519885,0.0022925540415656247
151,7,ORD_15527_0122,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
152,7,ORD_15629_0073,0.14138016940707523,-0.006808439185318347,0.0029961163065140434
153,7,ORD_15634_0253,0.31810538116591924,-0.0048063056834120235,0.002115059037791576
154,7,ORD_15668_0253,0.5442329227323628,-0.0028133770201705997,0.0012394403941846793
155,7,ORD_15816_0612,0.14138016940707523,-0.006808439185318347,0.0029961163065140434
156,7,ORD_1584_1612,0.31810538116591924,-0.0048063056834120235,0.002115059037791576
157,7,ORD_15868_0133,0.0,-0.00881057268722467,0.0038771735752365106
158,7,ORD_15868_0420,5.089686098654708,0.0072064953280259175,0.003171284574543226
159,7,ORD_15900_0133,0.5453235105701474,-0.002804172181505699,0.001234001769069109
160,7,ORD_16032_0588,1.272421524663677,0.001200094822306947,0.0005281127683758246
161,7,ORD_16080_0125,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
162,7,ORD_16105_0280,0.0,-0.00881057268722467,0.0038771735752365106
163,7,ORD_16159_0032,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
164,7,ORD_16182_0275,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
165,7,ORD_16202_0319,1.272421524663677,0.001200094822306947,0.0005281127683758246
166,7,ORD_16386_0110,11.451793721973093,0.009208628829932241,0.004052341843265693
167,7,ORD_16408_0110,0.8482810164424515,-0.0008020386795993756,0.0003529445003466417
168,7,ORD_16424_0058,0.5453235105701474,-0.002804172181505699,0.001234001769069109
169,7,ORD_16483_0111,0.0,-0.00881057268722467,0.0038771735752365106
170,7,ORD_16511_0111,1.9086322869955157,0.0032022283242132714,0.0014091700370982918
171,7,ORD_16542_0438,0.3635490070467649,-0.003925248414689556,0.0017273416802679247
172,7,ORD_16605_0438,0.0,-0.00881057268722467,0.0038771735752365106
173,7,ORD_16802_0267,1.2698768197088466,0.0011899330674993236,0.0005242280361504176
174,7,ORD_16816_0267,0.0,-0.008818342151675485,0.0038849430396873247
175,7,ORD_16869_0284,0.8465845464725644,-0.0008117219763356378,0.0003576061790171309
176,7,ORD_16907_0572,0.0,-0.008818342151675485,0.0038849430396873247
177,7,ORD_16921_0302,0.0,-0.008818342151675485,0.0038849430396873247
